username,應取得(meta名單),實際取得(246內mp4),應會短少
0_shufen,94,93,1
1_shiuan_0,62,61,1
1006nk,190,190,0
1105ya,110,109,1
20141010hero,14,14,0
2uncle987,238,237,1
3ctim,281,281,0
5inana,12,12,0
602avenue,169,169,0
6tan,43,43,0
87acup,105,105,0
achusan0817,53,53,0
ackj0301_ifbbpro,141,140,1
afunnywii,96,96,0
ala780705,159,159,0
alephant_0427,76,76,0
allie.liao,146,146,0
alvin701,1,0,1
andy1994x,79,79,0
anjouclever,23,23,0
annie72127,62,62,0
aottergirls,284,283,1
arielsvlog_816,82,82,0
aries_8248,172,172,0
b2btramy888888,61,61,0
basil_77777,49,49,0
baxuan_ig,52,52,0
beauty___wu,77,77,0
benwoooo,18,18,0
bimay_nagging,61,60,1
blairechen,44,44,0
bobo_kira,90,90,0
bonibaobao,120,120,0
boyplaymj,97,97,0
bugcat_capoo,63,63,0
byleway,29,29,0
campfire_tw,151,150,1
cb.otaku,68,68,0
children0704,24,23,1
chuchumei__,40,40,0
ciao_kitchen,18,18,0
cindyhhh32,51,51,0
cliffchuang3,11,11,0
cocowine0205,391,391,0
coffee_time_corgi,155,155,0
coindevanity,44,44,0
colorfulinsideus,99,99,0
corgimango,127,127,0
crown_du,78,78,0
cyfang58,72,72,0
da_chien_huang,26,26,0
daddy.iam,71,71,0
daisy.chiu,56,56,0
daiying0,73,73,0
dannybeeech,60,60,0
davio_magic,249,240,9
de.jun_666,11,11,0
dinter_1126,6,6,0
donehannah,174,174,0
dr.acne_scar_queen,639,639,0
eatzzz7,74,74,0
egg_things,16,16,0
elephant_gogo,122,122,0
emmy_on_earth,51,51,0
energydessert2019,145,145,0
ethan_kuan_kuan,312,312,0
flashwolves2013,39,39,0
fumeancat,97,97,0
gary.0917,196,196,0
getwie__,56,56,0
ginachiki,61,61,0
goodalicia,27,27,0
goris.sky,2,2,0
gu_yuze,57,54,3
hahatai_official,309,309,0
hailey_jane,11,11,0
hanhanpovideo,31,31,0
helloiamhook,14,14,0
hithisisachi,85,85,0
hooleefun,340,340,0
howhowhasfriends,96,95,1
hsin0126,39,39,0
huangbrotherss,76,56,20
huzihuang1989,11,11,0
iam_3636,58,58,0
imseriou,136,128,8
inesinesw,110,110,0
ironbullim,21,21,0
itsberrym,31,31,0
jam_cutepig,50,50,0
jam_steak,77,77,0
japanuts,297,297,0
jasondchen,151,151,0
jaychang0127,145,145,0
jbao_5000,34,34,0
jengsu,5,5,0
joemanweng,177,177,0
juliamisakii,103,103,0
k3okii,56,56,0
kai_makeup_,150,150,0
kaoru_0409,74,74,0
kart_wang,143,143,0
kellyshen40,156,156,0
khshu_,78,78,0
ladyflavor,155,155,0
ladyflavor_cui,342,342,0
ladyflavor_nowpo,168,168,0
lamashania,65,65,0
lan0716,22,22,0
lebaby0v0,15,15,0
lessonsfrommovies,9,9,0
liketaitai,67,67,0
lilyflute,196,196,0
linda831212,156,145,11
lingin1209,106,92,14
linzin.yt,9,9,0
lobo_is_good,4,4,0
logandbeck,14,14,0
loserzun,10,10,0
lovemiihuang,134,134,0
manatee0701,4,4,0
maomaotv,32,32,0
martinispig,108,108,0
maygobla,65,65,0
mayukichou,538,538,0
mengj215,43,43,0
mensgametw,114,114,0
miao11255,125,125,0
milasky_love,39,39,0
minikiki_0529,66,66,0
mochi_dad,66,66,0
momanddad_band,58,58,0
mr.joehobby,81,81,0
muyao4,90,90,0
mypink0911,90,90,0
nana_aleng,40,40,0
nanaciaociao,160,160,0
neneko.n,62,61,1
nickwang1988,60,60,0
ninggoose,43,43,0
niniru621,81,81,0
nowyouon,30,30,0
oldwangwang,1,1,0
onionman__,46,45,1
pansci,288,288,0
pattihuang,40,40,0
peeta.gege,64,63,1
peri168,62,62,0
peter_and_susan,246,245,1
peter825,31,30,1
rayduenglish,68,68,0
riceandshine.co,98,98,0
rosalina.kitchen,95,95,0
ruruspiano,42,42,0
ruwenwen,2,2,0
sandykaka_,149,149,0
sandymandy_official,62,62,0
sanyuan_japan,97,96,1
shaogao,37,37,0
shasha77.daily,290,290,0
shirley_01_12,24,24,0
skauramomo,35,0,35
soybeanmilk_cat,19,19,0
stanley_sportslife,166,166,0
sundayright_dub,68,68,0
sunnie_cat0111,27,27,0
swhite523,40,40,0
taiwan_bar,148,145,3
taiwanniu421,98,98,0
teacherchiang,287,285,2
tesscube,17,17,0
thechef_fred,58,58,0
thedodomen,196,195,1
thetiffanychen,185,185,0
thisgroupofpeople,170,170,0
three_muggles,111,108,3
tiest0913,96,95,1
tinana_master,57,57,0
traveggo,83,82,1
tsaibrotherderboofan,124,124,0
tsaigray2018,1,1,0
twodeerman,32,32,0
tzu_888,66,65,1
uccu0323,110,110,0
uni_catto,139,139,0
walkerdad1228,114,114,0
wanghungche,26,26,0
wecook123123,174,174,0
weisway18,66,66,0
weiteng0710,48,48,0
wia627,111,110,1
wufeili,40,40,0
xiucao.han,18,18,0
xollox121,14,14,0
yga0721,344,344,0
yu.young_fate,78,78,0
yuniko0720,25,25,0
zoebitalk,198,198,0
zxsdexz,179,178,1
,19443,19312,131
